"Accession_ID"	"species"
"Q9UKI3"	"VPRE3_HUMAN"
"O00453"	"LST1_HUMAN"
"O43541"	"SMAD6_HUMAN"
"O18793"	"CCR2_MACMU"
"P35225"	"IL13_HUMAN"
"Q3ZKN1"	"CATK_CANLF"
"P30382"	"1B04_GORGO"
"P16410"	"CTLA4_HUMAN"
"P02778"	"CXL10_HUMAN"
"P32971"	"TNFL8_HUMAN"
"P19875"	"CXCL2_HUMAN"
"P49238"	"CX3C1_HUMAN"
"Q9BQ51"	"PD1L2_HUMAN"
"Q8TCB0"	"IFI44_HUMAN"
"O35796"	"C1QBP_RAT"
"P35408"	"PE2R4_HUMAN"
"P24394"	"IL4RA_HUMAN"
"O43557"	"TNF14_HUMAN"
"O15533"	"TPSN_HUMAN"
"P84750"	"KVM5_MOUSE"
"Q08857"	"CD36_MOUSE"
"Q13829"	"BACD2_HUMAN"
"P40200"	"TACT_HUMAN"
"P70380"	"IL18_MOUSE"
"Q9Y6K9"	"NEMO_HUMAN"
"Q6NZQ8"	"MARH1_MOUSE"
"P01658"	"KV3A6_MOUSE"
"O35182"	"SMAD6_MOUSE"
"P02794"	"FRIH_HUMAN"
"O00574"	"CXCR6_HUMAN"
"Q03167"	"TGBR3_HUMAN"
"Q9EP73"	"PD1L1_MOUSE"
"O15117"	"FYB1_HUMAN"
"P20036"	"DPA1_HUMAN"
"Q92956"	"TNR14_HUMAN"
"P16391"	"HA12_RAT"
"Q9NZQ7"	"PD1L1_HUMAN"
"Q64610"	"ENPP2_RAT"
"Q04900"	"MUC24_HUMAN"
"P20023"	"CR2_HUMAN"
"Q95029"	"CATL_DROME"
"P31995"	"FCG2C_HUMAN"
"Q9Y275"	"TN13B_HUMAN"
"P16646"	"PMP22_MOUSE"
"O70479"	"BACD2_MOUSE"
"P15248"	"IL9_HUMAN"
"P01899"	"HA11_MOUSE"
"P58681"	"TLR7_MOUSE"
"P30385"	"1C02_GORGO"
"P01635"	"KV5A3_MOUSE"
"P41597"	"CCR2_HUMAN"
"P01597"	"KV139_HUMAN"
"P32246"	"CCR1_HUMAN"
"P04940"	"KV6A6_MOUSE"
"P01582"	"IL1A_MOUSE"
"Q13822"	"ENPP2_HUMAN"
"P40259"	"CD79B_HUMAN"
"Q9Y255"	"PRLD1_HUMAN"
"A0A075B6H9"	"LV469_HUMAN"
"P25445"	"TNR6_HUMAN"
"P61073"	"CXCR4_HUMAN"
"Q9Y5P4"	"CERT_HUMAN"
"P03986"	"TRGC2_HUMAN"
"O15111"	"IKKA_HUMAN"
"O75569"	"PRKRA_HUMAN"
"P78556"	"CCL20_HUMAN"
"P56485"	"ACKR3_MOUSE"
"Q17DK2"	"NAA25_AEDAE"
"O08750"	"NFIL3_MOUSE"
"Q9Y5Y4"	"PD2R2_HUMAN"
"P43489"	"TNR4_HUMAN"
"P01633"	"KV5A1_MOUSE"
"P01854"	"IGHE_HUMAN"
"Q08334"	"I10R2_HUMAN"
"O54907"	"TNF12_MOUSE"
"P10966"	"CD8B_HUMAN"
"P01715"	"LV301_HUMAN"
"P01897"	"HA1L_MOUSE"
"Q9Y3Z3"	"SAMH1_HUMAN"
"Q9BXR5"	"TLR10_HUMAN"
"Q3TTA7"	"CBLB_MOUSE"
"P01703"	"LV140_HUMAN"
"P01730"	"CD4_HUMAN"
"P13236"	"CCL4_HUMAN"
"P17676"	"CEBPB_HUMAN"
"Q04683"	"CXCR5_MOUSE"
"P53568"	"CEBPG_MOUSE"
"P04141"	"CSF2_HUMAN"
"P36894"	"BMR1A_HUMAN"
"P01638"	"KV5A6_MOUSE"
"Q02086"	"SP2_HUMAN"
"P01594"	"KV133_HUMAN"
"P01700"	"LV147_HUMAN"
"Q01629"	"IFM2_HUMAN"
"Q9NR96"	"TLR9_HUMAN"
"O43561"	"LAT_HUMAN"
"Q6TMK4"	"POXA_DICDI"
"P42081"	"CD86_HUMAN"
"P01680"	"KV4A1_MOUSE"
"P05113"	"IL5_HUMAN"
"P47774"	"CCR7_MOUSE"
"P05112"	"IL4_HUMAN"
"P10145"	"IL8_HUMAN"
"P49682"	"CXCR3_HUMAN"
"P56202"	"CATW_HUMAN"
"P60568"	"IL2_HUMAN"
"P01825"	"HV459_HUMAN"
"Q53G44"	"IF44L_HUMAN"
"P01589"	"IL2RA_HUMAN"
"A0A0A6YYC5"	"TVA14_HUMAN"
"P25774"	"CATS_HUMAN"
"P23083"	"HV102_HUMAN"
"P33076"	"C2TA_HUMAN"
"O14625"	"CXL11_HUMAN"
"P43030"	"CXCL7_PIG"
"P01906"	"DQA2_HUMAN"
"P13725"	"ONCM_HUMAN"
"P01726"	"LV1D_MOUSE"
"Q9JJ00"	"PLS1_MOUSE"
"P51685"	"CCR8_HUMAN"
"P55097"	"CATK_MOUSE"
"P22366"	"MYD88_MOUSE"
"P32249"	"GP183_HUMAN"
"Q9JM10"	"TNFC_MARMO"
"Q06265"	"EXOS9_HUMAN"
"P04433"	"KV311_HUMAN"
"Q8IYL9"	"PSYR_HUMAN"
"P01644"	"KV5AB_MOUSE"
"P03979"	"TRGV3_HUMAN"
"Q9Z0D9"	"CX3C1_MOUSE"
"A0A075B6S2"	"KVD29_HUMAN"
"P01665"	"KV3AD_MOUSE"
"O62618"	"MK38A_DROME"
"O54957"	"LAT_MOUSE"
"O46414"	"FRIH_BOVIN"
"P01903"	"DRA_HUMAN"
"D3ZZ07"	"CAT7_RAT"
"Q99731"	"CCL19_HUMAN"
"Q9Y6W8"	"ICOS_HUMAN"
"P01701"	"LV151_HUMAN"
"P06797"	"CATL1_MOUSE"
"Q08116"	"RGS1_HUMAN"
"P32302"	"CXCR5_HUMAN"
"P32248"	"CCR7_HUMAN"
"P08637"	"FCG3A_HUMAN"
"P06315"	"KV502_HUMAN"
"P01732"	"CD8A_HUMAN"
"P04437"	"TVA29_HUMAN"
"P01591"	"IGJ_HUMAN"
"A0A075B6P5"	"KV228_HUMAN"
