"Transcript_ID"	"Accession_ID"	"species"
"TRINITY_DN15956_c0_g1_i26"	"P16209"	"1A01_PANTR"
"TRINITY_DN199122_c0_g1_i17"	"P16209"	"1A01_PANTR"
"TRINITY_DN199122_c0_g1_i20"	"P16209"	"1A01_PANTR"
"TRINITY_DN199122_c0_g1_i7"	"P16209"	"1A01_PANTR"
"TRINITY_DN22637_c0_g1_i2"	"P16210"	"1A02_PANTR"
"TRINITY_DN15956_c0_g1_i1"	"P16210"	"1A02_PANTR"
"TRINITY_DN15956_c0_g1_i35"	"P16210"	"1A02_PANTR"
"TRINITY_DN15956_c0_g1_i10"	"P16210"	"1A02_PANTR"
"TRINITY_DN15956_c0_g1_i37"	"P16210"	"1A02_PANTR"
"TRINITY_DN75958_c1_g1_i3"	"Q12770"	"SCAP_HUMAN"
"TRINITY_DN263861_c0_g1_i1"	"Q12770"	"SCAP_HUMAN"
"TRINITY_DN546999_c0_g1_i1"	"Q12770"	"SCAP_HUMAN"
"TRINITY_DN532215_c0_g1_i1"	"Q12770"	"SCAP_HUMAN"
"TRINITY_DN629280_c0_g1_i1"	"Q12770"	"SCAP_HUMAN"
"TRINITY_DN622708_c0_g1_i1"	"Q12770"	"SCAP_HUMAN"
"TRINITY_DN64458_c0_g1_i4"	"P48960"	"CD97_HUMAN"
"TRINITY_DN64458_c0_g1_i12"	"P48960"	"CD97_HUMAN"
"TRINITY_DN64458_c0_g1_i9"	"P48960"	"CD97_HUMAN"
"TRINITY_DN64458_c0_g1_i5"	"P48960"	"CD97_HUMAN"
"TRINITY_DN64458_c0_g1_i10"	"P48960"	"CD97_HUMAN"
"TRINITY_DN64458_c0_g1_i8"	"P48960"	"CD97_HUMAN"
"TRINITY_DN64458_c0_g1_i11"	"P48960"	"CD97_HUMAN"
"TRINITY_DN51756_c1_g1_i5"	"P04439"	"HLAA_HUMAN"
"TRINITY_DN5337_c0_g1_i1"	"P04439"	"HLAA_HUMAN"
"TRINITY_DN5337_c0_g1_i19"	"P04439"	"HLAA_HUMAN"
"TRINITY_DN15956_c0_g1_i11"	"P04439"	"HLAA_HUMAN"
"TRINITY_DN15956_c0_g1_i6"	"P04439"	"HLAA_HUMAN"
"TRINITY_DN15956_c0_g1_i38"	"P04439"	"HLAA_HUMAN"
"TRINITY_DN9181_c0_g1_i2"	"P32456"	"GBP2_HUMAN"
"TRINITY_DN9181_c0_g1_i3"	"P32456"	"GBP2_HUMAN"
"TRINITY_DN15687_c0_g1_i3"	"P32456"	"GBP2_HUMAN"
"TRINITY_DN15687_c0_g1_i1"	"P32456"	"GBP2_HUMAN"
"TRINITY_DN15687_c0_g1_i8"	"P32456"	"GBP2_HUMAN"
"TRINITY_DN15687_c0_g1_i14"	"P32456"	"GBP2_HUMAN"
"TRINITY_DN15687_c0_g1_i9"	"P32456"	"GBP2_HUMAN"
"TRINITY_DN15687_c0_g1_i13"	"P32456"	"GBP2_HUMAN"
"TRINITY_DN15687_c0_g1_i11"	"P32456"	"GBP2_HUMAN"
"TRINITY_DN15687_c0_g1_i2"	"P32456"	"GBP2_HUMAN"
"TRINITY_DN15687_c0_g1_i4"	"P32456"	"GBP2_HUMAN"
"TRINITY_DN104455_c0_g1_i2"	"P43403"	"ZAP70_HUMAN"
"TRINITY_DN104455_c0_g1_i6"	"P43403"	"ZAP70_HUMAN"
"TRINITY_DN104455_c0_g1_i1"	"P43403"	"ZAP70_HUMAN"
"TRINITY_DN104455_c0_g1_i5"	"P43403"	"ZAP70_HUMAN"
"TRINITY_DN104455_c0_g1_i4"	"P43403"	"ZAP70_HUMAN"
"TRINITY_DN281597_c0_g1_i2"	"P02686"	"MBP_HUMAN"
"TRINITY_DN281597_c0_g1_i1"	"P02686"	"MBP_HUMAN"
"TRINITY_DN281597_c0_g1_i3"	"P02686"	"MBP_HUMAN"
"TRINITY_DN637566_c0_g1_i1"	"P02686"	"MBP_HUMAN"
"TRINITY_DN534982_c0_g1_i1"	"P25119"	"TNR1B_MOUSE"
"TRINITY_DN633892_c0_g1_i1"	"P25119"	"TNR1B_MOUSE"
"TRINITY_DN578677_c0_g1_i1"	"P51679"	"CCR4_HUMAN"
"TRINITY_DN10_c756_g1_i1"	"P53634"	"CATC_HUMAN"
"TRINITY_DN10458_c1_g1_i3"	"P53634"	"CATC_HUMAN"
"TRINITY_DN10458_c1_g1_i1"	"P53634"	"CATC_HUMAN"
"TRINITY_DN10458_c1_g1_i4"	"P53634"	"CATC_HUMAN"
"TRINITY_DN38803_c0_g2_i1"	"P53634"	"CATC_HUMAN"
"TRINITY_DN38803_c0_g2_i2"	"P53634"	"CATC_HUMAN"
"TRINITY_DN1532_c0_g2_i1"	"P53634"	"CATC_HUMAN"
"TRINITY_DN1532_c0_g2_i2"	"P53634"	"CATC_HUMAN"
"TRINITY_DN119065_c0_g1_i1"	"P53634"	"CATC_HUMAN"
"TRINITY_DN624468_c0_g1_i1"	"P53634"	"CATC_HUMAN"
"TRINITY_DN12642_c1_g1_i5"	"Q13231"	"CHIT1_HUMAN"
"TRINITY_DN12642_c1_g1_i13"	"Q13231"	"CHIT1_HUMAN"
"TRINITY_DN9042_c0_g1_i12"	"Q13231"	"CHIT1_HUMAN"
"TRINITY_DN9042_c0_g1_i21"	"Q13231"	"CHIT1_HUMAN"
"TRINITY_DN9042_c0_g1_i9"	"Q13231"	"CHIT1_HUMAN"
"TRINITY_DN9042_c0_g1_i15"	"Q13231"	"CHIT1_HUMAN"
"TRINITY_DN9042_c0_g1_i24"	"Q13231"	"CHIT1_HUMAN"
"TRINITY_DN9042_c0_g1_i2"	"Q13231"	"CHIT1_HUMAN"
"TRINITY_DN449688_c0_g1_i1"	"Q16649"	"NFIL3_HUMAN"
"TRINITY_DN446511_c0_g1_i1"	"Q16649"	"NFIL3_HUMAN"
"TRINITY_DN438664_c0_g1_i1"	"Q16649"	"NFIL3_HUMAN"
"TRINITY_DN58882_c0_g1_i1"	"P42768"	"WASP_HUMAN"
"TRINITY_DN58882_c0_g1_i4"	"P42768"	"WASP_HUMAN"
"TRINITY_DN58882_c0_g1_i2"	"P42768"	"WASP_HUMAN"
"TRINITY_DN488194_c0_g1_i1"	"P42768"	"WASP_HUMAN"
"TRINITY_DN488678_c0_g1_i1"	"P42768"	"WASP_HUMAN"
"TRINITY_DN533978_c0_g1_i1"	"P42768"	"WASP_HUMAN"
"TRINITY_DN10743_c1_g2_i4"	"P24001"	"IL32_HUMAN"
"TRINITY_DN10743_c1_g2_i8"	"P24001"	"IL32_HUMAN"
"TRINITY_DN10743_c1_g2_i10"	"P24001"	"IL32_HUMAN"
"TRINITY_DN10743_c1_g2_i6"	"P24001"	"IL32_HUMAN"
"TRINITY_DN10743_c1_g2_i9"	"P24001"	"IL32_HUMAN"
"TRINITY_DN10743_c1_g2_i3"	"P24001"	"IL32_HUMAN"
"TRINITY_DN10743_c1_g2_i5"	"P24001"	"IL32_HUMAN"
"TRINITY_DN10743_c1_g2_i11"	"P24001"	"IL32_HUMAN"
"TRINITY_DN43336_c0_g1_i8"	"Q5T0T0"	"MARH8_HUMAN"
"TRINITY_DN43336_c0_g1_i3"	"Q5T0T0"	"MARH8_HUMAN"
"TRINITY_DN43336_c0_g1_i1"	"Q5T0T0"	"MARH8_HUMAN"
"TRINITY_DN43336_c0_g1_i11"	"Q5T0T0"	"MARH8_HUMAN"
"TRINITY_DN428560_c0_g1_i1"	"Q5T0T0"	"MARH8_HUMAN"
"TRINITY_DN450263_c0_g1_i1"	"Q9R1E6"	"ENPP2_MOUSE"
"TRINITY_DN622426_c0_g1_i1"	"Q9R1E6"	"ENPP2_MOUSE"
"TRINITY_DN423381_c0_g1_i1"	"Q8IWV1"	"LAX1_HUMAN"
"TRINITY_DN588375_c0_g1_i1"	"Q8IWV1"	"LAX1_HUMAN"
"TRINITY_DN631658_c0_g1_i1"	"Q8IWV1"	"LAX1_HUMAN"
"TRINITY_DN24677_c0_g1_i6"	"Q01628"	"IFM3_HUMAN"
"TRINITY_DN24677_c0_g1_i4"	"Q01628"	"IFM3_HUMAN"
"TRINITY_DN24677_c0_g1_i2"	"Q01628"	"IFM3_HUMAN"
"TRINITY_DN1613_c0_g1_i2"	"Q94527"	"NFKB1_DROME"
"TRINITY_DN1613_c0_g1_i14"	"Q94527"	"NFKB1_DROME"
"TRINITY_DN1613_c0_g1_i16"	"Q94527"	"NFKB1_DROME"
"TRINITY_DN1613_c0_g1_i18"	"Q94527"	"NFKB1_DROME"
"TRINITY_DN1613_c0_g1_i9"	"Q94527"	"NFKB1_DROME"
"TRINITY_DN14229_c0_g1_i41"	"P13751"	"1B02_PANTR"
"TRINITY_DN14229_c0_g1_i21"	"P13751"	"1B02_PANTR"
"TRINITY_DN14229_c0_g1_i10"	"P13751"	"1B02_PANTR"
"TRINITY_DN14229_c0_g1_i13"	"P13751"	"1B02_PANTR"
"TRINITY_DN14229_c0_g1_i18"	"P13751"	"1B02_PANTR"
"TRINITY_DN14229_c0_g1_i3"	"P13751"	"1B02_PANTR"
"TRINITY_DN5337_c0_g1_i5"	"P13751"	"1B02_PANTR"
"TRINITY_DN14229_c0_g1_i36"	"P30686"	"1C01_PANTR"
"TRINITY_DN199122_c0_g1_i15"	"P30686"	"1C01_PANTR"
"TRINITY_DN27628_c0_g1_i15"	"P01911"	"DRB_HUMAN"
"TRINITY_DN27628_c0_g1_i13"	"P01911"	"DRB_HUMAN"
"TRINITY_DN27628_c0_g1_i16"	"P01911"	"DRB_HUMAN"
"TRINITY_DN2894_c0_g2_i1"	"P01911"	"DRB_HUMAN"
"TRINITY_DN178390_c0_g1_i1"	"P01911"	"DRB_HUMAN"
"TRINITY_DN495213_c0_g1_i1"	"Q9NPH3"	"IL1AP_HUMAN"
"TRINITY_DN624322_c0_g1_i1"	"Q9NPH3"	"IL1AP_HUMAN"
"TRINITY_DN73164_c0_g2_i1"	"O70370"	"CATS_MOUSE"
"TRINITY_DN134667_c0_g1_i4"	"P14483"	"HB2A_MOUSE"
"TRINITY_DN134667_c0_g1_i3"	"P14483"	"HB2A_MOUSE"
"TRINITY_DN134667_c0_g1_i6"	"P14483"	"HB2A_MOUSE"
"TRINITY_DN134667_c0_g1_i2"	"P14483"	"HB2A_MOUSE"
"TRINITY_DN74590_c0_g1_i11"	"P13750"	"1B01_PANTR"
"TRINITY_DN74590_c0_g1_i10"	"P13750"	"1B01_PANTR"
"TRINITY_DN74590_c0_g1_i7"	"P13750"	"1B01_PANTR"
"TRINITY_DN74590_c0_g1_i6"	"P13750"	"1B01_PANTR"
"TRINITY_DN74590_c0_g1_i17"	"P13750"	"1B01_PANTR"
"TRINITY_DN74590_c0_g1_i4"	"P13750"	"1B01_PANTR"
"TRINITY_DN74590_c0_g1_i2"	"P13750"	"1B01_PANTR"
"TRINITY_DN74590_c0_g1_i13"	"P13750"	"1B01_PANTR"
"TRINITY_DN74590_c0_g1_i9"	"P13750"	"1B01_PANTR"
"TRINITY_DN74590_c0_g1_i12"	"P13750"	"1B01_PANTR"
"TRINITY_DN15956_c0_g1_i9"	"P13750"	"1B01_PANTR"
"TRINITY_DN199122_c0_g1_i11"	"P13750"	"1B01_PANTR"
"TRINITY_DN199122_c0_g1_i14"	"P13750"	"1B01_PANTR"
"TRINITY_DN1282_c0_g1_i12"	"Q91XB0"	"TREX1_MOUSE"
"TRINITY_DN264861_c0_g1_i1"	"Q91XB0"	"TREX1_MOUSE"
"TRINITY_DN9120_c1_g1_i1"	"Q08D88"	"NFIL3_BOVIN"
"TRINITY_DN9120_c1_g1_i4"	"Q08D88"	"NFIL3_BOVIN"
"TRINITY_DN9120_c1_g1_i5"	"Q08D88"	"NFIL3_BOVIN"
"TRINITY_DN535211_c0_g1_i1"	"P36402"	"TCF7_HUMAN"
"TRINITY_DN48042_c1_g2_i3"	"Q91XA9"	"CHIA_MOUSE"
"TRINITY_DN48042_c1_g2_i4"	"Q91XA9"	"CHIA_MOUSE"
"TRINITY_DN48042_c1_g2_i5"	"Q91XA9"	"CHIA_MOUSE"
"TRINITY_DN24631_c1_g1_i2"	"Q91XA9"	"CHIA_MOUSE"
"TRINITY_DN494523_c0_g1_i1"	"Q99558"	"M3K14_HUMAN"
"TRINITY_DN449165_c0_g1_i1"	"Q99558"	"M3K14_HUMAN"
"TRINITY_DN490459_c0_g1_i1"	"Q99558"	"M3K14_HUMAN"
"TRINITY_DN582078_c0_g1_i1"	"Q99558"	"M3K14_HUMAN"
"TRINITY_DN506247_c0_g1_i1"	"Q99558"	"M3K14_HUMAN"
"TRINITY_DN177654_c0_g1_i1"	"P01824"	"HV439_HUMAN"
"TRINITY_DN332099_c0_g1_i2"	"P01764"	"HV323_HUMAN"
"TRINITY_DN25010_c0_g3_i2"	"P17861"	"XBP1_HUMAN"
"TRINITY_DN25010_c0_g3_i1"	"P17861"	"XBP1_HUMAN"
"TRINITY_DN438487_c0_g1_i1"	"O14931"	"NCTR3_HUMAN"
"TRINITY_DN447316_c0_g1_i1"	"O14931"	"NCTR3_HUMAN"
"TRINITY_DN325066_c0_g2_i1"	"P50238"	"CRIP1_HUMAN"
"TRINITY_DN7323_c4_g1_i6"	"P84023"	"SMAD3_CHICK"
"TRINITY_DN7323_c4_g1_i5"	"P84023"	"SMAD3_CHICK"
"TRINITY_DN319_c2_g2_i1"	"P84023"	"SMAD3_CHICK"
"TRINITY_DN319_c2_g2_i3"	"P84023"	"SMAD3_CHICK"
"TRINITY_DN416914_c0_g1_i1"	"P84023"	"SMAD3_CHICK"
"TRINITY_DN631207_c0_g1_i1"	"P84023"	"SMAD3_CHICK"
"TRINITY_DN326740_c0_g1_i4"	"Q95460"	"HMR1_HUMAN"
"TRINITY_DN326740_c0_g1_i2"	"Q95460"	"HMR1_HUMAN"
"TRINITY_DN326740_c0_g1_i1"	"Q95460"	"HMR1_HUMAN"
"TRINITY_DN146939_c2_g1_i1"	"P01717"	"LV325_HUMAN"
"TRINITY_DN558952_c0_g1_i1"	"P01717"	"LV325_HUMAN"
"TRINITY_DN359_c0_g1_i9"	"Q14164"	"IKKE_HUMAN"
"TRINITY_DN359_c0_g1_i17"	"Q14164"	"IKKE_HUMAN"
"TRINITY_DN359_c0_g1_i6"	"Q14164"	"IKKE_HUMAN"
"TRINITY_DN359_c0_g1_i25"	"Q14164"	"IKKE_HUMAN"
"TRINITY_DN359_c0_g1_i7"	"Q14164"	"IKKE_HUMAN"
"TRINITY_DN359_c0_g1_i18"	"Q14164"	"IKKE_HUMAN"
"TRINITY_DN292318_c0_g1_i1"	"Q14164"	"IKKE_HUMAN"
"TRINITY_DN533466_c0_g1_i1"	"Q14164"	"IKKE_HUMAN"
"TRINITY_DN350528_c0_g1_i2"	"Q6V1X1"	"DPP8_HUMAN"
"TRINITY_DN463431_c0_g1_i1"	"Q6V1X1"	"DPP8_HUMAN"
"TRINITY_DN478942_c0_g1_i1"	"Q6V1X1"	"DPP8_HUMAN"
"TRINITY_DN464414_c0_g1_i1"	"Q6V1X1"	"DPP8_HUMAN"
"TRINITY_DN548931_c0_g1_i1"	"Q6V1X1"	"DPP8_HUMAN"
"TRINITY_DN533267_c0_g1_i1"	"Q6V1X1"	"DPP8_HUMAN"
"TRINITY_DN2354_c6_g8_i1"	"P08267"	"FRIH_CHICK"
"TRINITY_DN2354_c14_g1_i1"	"P08267"	"FRIH_CHICK"
"TRINITY_DN148183_c0_g2_i1"	"P08267"	"FRIH_CHICK"
"TRINITY_DN148183_c0_g2_i3"	"P08267"	"FRIH_CHICK"
"TRINITY_DN148183_c0_g2_i2"	"P08267"	"FRIH_CHICK"
"TRINITY_DN148183_c2_g1_i1"	"P08267"	"FRIH_CHICK"
"TRINITY_DN172337_c6_g1_i1"	"P08267"	"FRIH_CHICK"
"TRINITY_DN172337_c0_g1_i10"	"P08267"	"FRIH_CHICK"
"TRINITY_DN201683_c3_g1_i1"	"P08267"	"FRIH_CHICK"
"TRINITY_DN277299_c0_g1_i1"	"P14921"	"ETS1_HUMAN"
"TRINITY_DN302470_c0_g1_i1"	"P14921"	"ETS1_HUMAN"
"TRINITY_DN302470_c0_g1_i2"	"P14921"	"ETS1_HUMAN"
"TRINITY_DN14229_c0_g1_i4"	"P10321"	"HLAC_HUMAN"
"TRINITY_DN14229_c0_g1_i11"	"P10321"	"HLAC_HUMAN"
"TRINITY_DN14229_c0_g1_i6"	"P10321"	"HLAC_HUMAN"
"TRINITY_DN14229_c0_g1_i38"	"P10321"	"HLAC_HUMAN"
"TRINITY_DN438049_c0_g1_i1"	"Q13478"	"IL18R_HUMAN"
"TRINITY_DN632616_c0_g1_i1"	"Q13478"	"IL18R_HUMAN"
"TRINITY_DN115500_c0_g1_i1"	"P53567"	"CEBPG_HUMAN"
"TRINITY_DN27628_c0_g2_i1"	"P01920"	"DQB1_HUMAN"
"TRINITY_DN72267_c0_g1_i1"	"P01920"	"DQB1_HUMAN"
"TRINITY_DN134667_c1_g1_i1"	"P01920"	"DQB1_HUMAN"
"TRINITY_DN134667_c1_g1_i2"	"P01920"	"DQB1_HUMAN"
"TRINITY_DN389474_c0_g1_i3"	"P01920"	"DQB1_HUMAN"
"TRINITY_DN389474_c0_g1_i1"	"P01920"	"DQB1_HUMAN"
"TRINITY_DN447906_c0_g1_i1"	"O95256"	"I18RA_HUMAN"
"TRINITY_DN578192_c0_g1_i1"	"O95256"	"I18RA_HUMAN"
"TRINITY_DN551439_c0_g1_i1"	"O95256"	"I18RA_HUMAN"
"TRINITY_DN65210_c0_g1_i24"	"Q6ZN66"	"GBP6_HUMAN"
"TRINITY_DN65210_c0_g1_i13"	"Q6ZN66"	"GBP6_HUMAN"
"TRINITY_DN65210_c0_g1_i20"	"Q6ZN66"	"GBP6_HUMAN"
"TRINITY_DN65210_c0_g1_i2"	"Q6ZN66"	"GBP6_HUMAN"
"TRINITY_DN65210_c0_g1_i21"	"Q6ZN66"	"GBP6_HUMAN"
"TRINITY_DN3003_c0_g1_i31"	"Q6ZN66"	"GBP6_HUMAN"
"TRINITY_DN3003_c0_g1_i38"	"Q6ZN66"	"GBP6_HUMAN"
"TRINITY_DN3003_c0_g1_i19"	"Q6ZN66"	"GBP6_HUMAN"
"TRINITY_DN3003_c0_g1_i1"	"Q6ZN66"	"GBP6_HUMAN"
"TRINITY_DN3003_c0_g1_i14"	"Q6ZN66"	"GBP6_HUMAN"
"TRINITY_DN73293_c0_g2_i2"	"Q6ZN66"	"GBP6_HUMAN"
"TRINITY_DN73293_c0_g2_i3"	"Q6ZN66"	"GBP6_HUMAN"
"TRINITY_DN252851_c0_g1_i1"	"Q6ZN66"	"GBP6_HUMAN"
"TRINITY_DN582019_c0_g1_i1"	"Q8BMT4"	"LRC33_MOUSE"
"TRINITY_DN622472_c0_g1_i1"	"Q8BMT4"	"LRC33_MOUSE"
"TRINITY_DN188421_c0_g1_i1"	"P56439"	"CCR5_GORGO"
"TRINITY_DN120440_c0_g1_i1"	"Q8IYM9"	"TRI22_HUMAN"
"TRINITY_DN120440_c0_g1_i3"	"Q8IYM9"	"TRI22_HUMAN"
"TRINITY_DN120440_c0_g1_i2"	"Q8IYM9"	"TRI22_HUMAN"
"TRINITY_DN541359_c0_g1_i1"	"Q8IYM9"	"TRI22_HUMAN"
"TRINITY_DN136504_c0_g1_i1"	"P07711"	"CATL1_HUMAN"
"TRINITY_DN292533_c0_g1_i1"	"P07711"	"CATL1_HUMAN"
"TRINITY_DN292533_c0_g1_i2"	"P07711"	"CATL1_HUMAN"
"TRINITY_DN417076_c0_g1_i1"	"P07711"	"CATL1_HUMAN"
"TRINITY_DN14229_c0_g1_i22"	"P01889"	"HLAB_HUMAN"
"TRINITY_DN81352_c0_g1_i1"	"P01889"	"HLAB_HUMAN"
"TRINITY_DN5337_c0_g1_i33"	"P01889"	"HLAB_HUMAN"
"TRINITY_DN5337_c0_g1_i26"	"P01889"	"HLAB_HUMAN"
"TRINITY_DN5337_c0_g1_i21"	"P01889"	"HLAB_HUMAN"
"TRINITY_DN5337_c0_g1_i9"	"P01889"	"HLAB_HUMAN"
"TRINITY_DN5337_c0_g1_i25"	"P01889"	"HLAB_HUMAN"
"TRINITY_DN5337_c0_g1_i4"	"P01889"	"HLAB_HUMAN"
"TRINITY_DN5337_c0_g1_i34"	"P01889"	"HLAB_HUMAN"
"TRINITY_DN2166_c0_g1_i9"	"Q9R0Q8"	"CLC4E_MOUSE"
"TRINITY_DN2166_c0_g1_i16"	"Q9R0Q8"	"CLC4E_MOUSE"
"TRINITY_DN2166_c0_g1_i31"	"Q9R0Q8"	"CLC4E_MOUSE"
"TRINITY_DN2221_c0_g1_i7"	"Q9R0Q8"	"CLC4E_MOUSE"
"TRINITY_DN2221_c0_g1_i18"	"Q9R0Q8"	"CLC4E_MOUSE"
"TRINITY_DN2221_c0_g1_i8"	"Q9R0Q8"	"CLC4E_MOUSE"
"TRINITY_DN2221_c0_g1_i17"	"Q9R0Q8"	"CLC4E_MOUSE"
"TRINITY_DN2221_c0_g1_i3"	"Q9R0Q8"	"CLC4E_MOUSE"
"TRINITY_DN2221_c0_g1_i5"	"Q9R0Q8"	"CLC4E_MOUSE"
"TRINITY_DN2221_c0_g1_i4"	"Q9R0Q8"	"CLC4E_MOUSE"
"TRINITY_DN97374_c5_g1_i1"	"Q6UWB1"	"I27RA_HUMAN"
"TRINITY_DN422990_c0_g1_i1"	"Q6UWB1"	"I27RA_HUMAN"
"TRINITY_DN630387_c0_g1_i1"	"Q6UWB1"	"I27RA_HUMAN"
"TRINITY_DN177654_c1_g1_i1"	"P06331"	"HV434_HUMAN"
"TRINITY_DN491171_c0_g1_i1"	"O08843"	"LST1_MOUSE"
"TRINITY_DN45202_c0_g1_i9"	"P22670"	"RFX1_HUMAN"
"TRINITY_DN45202_c0_g1_i15"	"P22670"	"RFX1_HUMAN"
"TRINITY_DN45202_c0_g1_i20"	"P22670"	"RFX1_HUMAN"
"TRINITY_DN75412_c0_g1_i7"	"P01893"	"HLAH_HUMAN"
"TRINITY_DN225676_c3_g1_i1"	"P01893"	"HLAH_HUMAN"
"TRINITY_DN14229_c0_g1_i26"	"P30387"	"1C04_GORGO"
"TRINITY_DN14229_c0_g1_i39"	"P30387"	"1C04_GORGO"
"TRINITY_DN5337_c0_g1_i37"	"P30387"	"1C04_GORGO"
"TRINITY_DN448371_c0_g1_i1"	"O75888"	"TNF13_HUMAN"
"TRINITY_DN579753_c0_g1_i1"	"O75888"	"TNF13_HUMAN"
"TRINITY_DN488104_c0_g1_i1"	"Q96BF3"	"TMIG2_HUMAN"
"TRINITY_DN154068_c0_g1_i3"	"P01876"	"IGHA1_HUMAN"
"TRINITY_DN154068_c0_g1_i5"	"P01876"	"IGHA1_HUMAN"
"TRINITY_DN154068_c0_g1_i6"	"P01876"	"IGHA1_HUMAN"
"TRINITY_DN154068_c0_g1_i4"	"P01876"	"IGHA1_HUMAN"
"TRINITY_DN626358_c0_g1_i1"	"P06312"	"KV401_HUMAN"
"TRINITY_DN75412_c0_g1_i11"	"P01901"	"HA1B_MOUSE"
"TRINITY_DN15956_c1_g1_i1"	"P01901"	"HA1B_MOUSE"
"TRINITY_DN188128_c0_g1_i6"	"P01901"	"HA1B_MOUSE"
"TRINITY_DN188128_c0_g1_i9"	"P01901"	"HA1B_MOUSE"
"TRINITY_DN2894_c0_g1_i6"	"P01900"	"HA12_MOUSE"
"TRINITY_DN2894_c0_g1_i5"	"P01900"	"HA12_MOUSE"
"TRINITY_DN5337_c0_g1_i16"	"P01900"	"HA12_MOUSE"
"TRINITY_DN5337_c0_g1_i14"	"P01900"	"HA12_MOUSE"
"TRINITY_DN5337_c0_g1_i32"	"P01900"	"HA12_MOUSE"
"TRINITY_DN5337_c0_g1_i11"	"P01900"	"HA12_MOUSE"
"TRINITY_DN5337_c0_g1_i22"	"P01900"	"HA12_MOUSE"
"TRINITY_DN5337_c0_g1_i39"	"P01900"	"HA12_MOUSE"
"TRINITY_DN378179_c0_g1_i1"	"P01900"	"HA12_MOUSE"
"TRINITY_DN402970_c0_g1_i1"	"P01900"	"HA12_MOUSE"
"TRINITY_DN451577_c0_g1_i1"	"P33681"	"CD80_HUMAN"
"TRINITY_DN558759_c0_g1_i1"	"P33681"	"CD80_HUMAN"
"TRINITY_DN623584_c0_g1_i1"	"Q99081"	"HTF4_HUMAN"
"TRINITY_DN623584_c0_g1_i2"	"Q99081"	"HTF4_HUMAN"
"TRINITY_DN618658_c0_g1_i1"	"Q99081"	"HTF4_HUMAN"
"TRINITY_DN266936_c0_g1_i1"	"P01631"	"KV2A7_MOUSE"
"TRINITY_DN266936_c0_g1_i2"	"P01631"	"KV2A7_MOUSE"
"TRINITY_DN565301_c0_g1_i1"	"P01631"	"KV2A7_MOUSE"
"TRINITY_DN124856_c0_g1_i1"	"P16871"	"IL7RA_HUMAN"
"TRINITY_DN124856_c0_g1_i2"	"P16871"	"IL7RA_HUMAN"
"TRINITY_DN625965_c0_g1_i1"	"P16871"	"IL7RA_HUMAN"
"TRINITY_DN456438_c0_g1_i1"	"P01817"	"HV205_HUMAN"
"TRINITY_DN420086_c0_g1_i2"	"P23611"	"IRF8_MOUSE"
